******** New Auction Started ********
michael bid $51.56 on RunningShoes.
michael bid $501.68 on AppleWatch.
michael bid $101.56 on LawnMower.
******** New Auction Started ********
jeff404 bid $601.25 on AppleWatch.
******** New Auction Started ********
michael bid $501.25 on AppleWatch.
******** New Auction Started ********
michael bid $60.0 on RunningShoes.
******** New Auction Started ********
jeff404 bid $102.0 on LawnMower.
******** New Auction Started ********
jeff404 bid $601.57 on AppleWatch.
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
michael bid $525.0 on AppleWatch.
jeff404 bid $657.0 on AppleWatch.
******** New Auction Started ********
michael bid $543.76 on AppleWatch.
jeff404 bid $200.0 on LawnMower.
******** New Auction Started ********
jeff404 bid $675.0 on AppleWatch.
jeff404 bid $676.0 on AppleWatch.
jeff404 bid $110.5 on LawnMower.
******** New Auction Started ********
jeff404 bid $502.0 on AppleWatch.
michael bid $632.0 on AppleWatch.
michael bid $105.66 on LawnMower.
jeff404 bid $995.0 on AppleWatch.
******** New Auction Started ********
michael bid $501.0 on AppleWatch.
******** New Auction Started ********
michael bid $60.0 on Microphone.
michael bid $70.0 on Microphone.
michael bid $150.0 on LawnMower.
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
michael bid $60.0 on RunningShoes.
michael bid $105.0 on LawnMower.
******** New Auction Started ********
michael bid $60.0 on RunningShoes.
michael bid $120.0 on LawnMower.
******** New Auction Started ********
jeff404 bid $600.0 on AppleWatch.
jeff404 bid $4750.0 on Truck.
jeff404 bid $45.98 on Microphone.
ronald bid $46.0 on Microphone.
******** New Auction Started ********
ronald bid $525.0 on AppleWatch.
ronald bid $122.0 on LawnMower.
ronald bid $60.0 on Microphone.
ronald bid $4750.0 on Truck.
michael bid $4752.99 on Truck.
******** New Auction Started ********
ronald bid $600.0 on AppleWatch.
******** New Auction Started ********
jeff404 bid $565.0 on AppleWatch.
michael bid $566.0 on AppleWatch.
******** New Auction Started ********
michael bid $505.68 on AppleWatch.
michael bid $506.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
******** New Auction Started ********
jeff404 bid $600.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
jeff404 bid $606.0 on AppleWatch.
******** New Auction Started ********
jeff404 bid $506.0 on AppleWatch.
michael bid $299.0 on LawnMower.
jeff404 bid $506.0 on LawnMower.
******** New Auction Started ********
ronald bid $600.0 on AppleWatch.
michael bid $605.0 on AppleWatch.
******** New Auction Started ********
ronald bid $500.5 on AppleWatch.
******** New Auction Started ********
jeff404 bid $600.0 on AppleWatch.
michael bid $605.0 on LawnMower.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
******** New Auction Started ********
jeff404 bid $200.0 on LawnMower.
michael bid $900.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
******** New Auction Started ********
ronald bid $600.0 on AppleWatch.
michael bid $605.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
michael bid $601.0 on AppleWatch.
michael bid $608.0 on AppleWatch.
michael bid $700.0 on AppleWatch.
michael bid $705.0 on AppleWatch.
ronald bid $200.0 on LawnMower.
******** New Auction Started ********
michael bid $60.0 on Microphone.
michael bid $65.0 on Microphone.
michael bid $4755.56 on Truck.
ronald bid $600.0 on AppleWatch.
******** New Auction Started ********
ronald bid $600.0 on AppleWatch.
michael bid $200.0 on LawnMower.
******** New Auction Started ********
michael bid $550.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
ronald bid $650.0 on AppleWatch.
******** New Auction Started ********
jeff404 bid $60.0 on RunningShoes.
jeff404 bid $200.0 on LawnMower.
michael bid $600.0 on AppleWatch.
michael bid $601.0 on AppleWatch.
******** New Auction Started ********
michael bid $501.0 on AppleWatch.
michael bid $206.66 on LawnMower.
jeff404 bid $210.0 on LawnMower.
jeff404 bid $60.0 on Microphone.
michael bid $600.0 on AppleWatch.
******** New Auction Started ********
ronald bid $60.0 on RunningShoes.
ronald bid $110.0 on LawnMower.
ronald bid $4575.5 on Truck.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
michael bid $900.0 on AppleWatch.
******** New Auction Started ********
michael bid $60.0 on RunningShoes.
ronald bid $600.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
ronald bid $200.0 on LawnMower.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
michael bid $4750.0 on Truck.
ronald bid $150.5 on LawnMower.
ronald bid $667.68 on AppleWatch.
******** New Auction Started ********
michael bid $550.99 on AppleWatch.
ronald bid $600.0 on AppleWatch.
******** New Auction Started ********
michael bid $525.0 on AppleWatch.
michael bid $122.65 on LawnMower.
ronald bid $125.0 on LawnMower.
ronald bid $130.0 on LawnMower.
******** New Auction Started ********
michael bid $534.0 on AppleWatch.
jeff404 bid $550.0 on AppleWatch.
jeff404 bid $123.0 on LawnMower.
******** New Auction Started ********
michael bid $65.99 on RunningShoes.
michael bid $4578.68 on Truck.
jeff404 bid $600.0 on AppleWatch.
jeff404 bid $125.0 on LawnMower.
jeff404 bid $126.0 on LawnMower.
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
******** New Auction Started ********
jeff404 bid $555.0 on AppleWatch.
******** New Auction Started ********
jeff404 bid $60.0 on RunningShoes.
jeff404 bid $4750.0 on Truck.
jeff404 bid $650.0 on AppleWatch.
******** New Auction Started ********
michael bid $88.0 on RunningShoes.
michael bid $5000.0 on Truck.
michael bid $6000.0 on Truck.
michael bid $156.0 on LawnMower.
michael bid $550.0 on AppleWatch.
michael bid $551.0 on AppleWatch.
******** New Auction Started ********
******** New Auction Started ********
michael bid $60.0 on RunningShoes.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
ronald bid $700.0 on AppleWatch.
ronald bid $200.0 on LawnMower.
ronald bid $4750.0 on Truck.
ronald bid $4751.0 on Truck.
******** New Auction Started ********
jeff404 bid $600.0 on AppleWatch.
michael bid $700.0 on AppleWatch.
michael bid $298.0 on LawnMower.
jeff404 bid $600.0 on LawnMower.
michael bid $650.0 on LawnMower.
michael bid $59.0 on Microphone.
michael bid $800.0 on AppleWatch.
******** New Auction Started ********
ronald bid $600.0 on AppleWatch.
michael bid $700.0 on AppleWatch.
michael bid $200.0 on LawnMower.
michael bid $250.0 on LawnMower.
ronald bid $258.0 on LawnMower.
michael bid $4750.0 on Truck.
ronald bid $60.0 on Microphone.
ronald bid $68.0 on Microphone.
******** New Auction Started ********
jeff404 bid $136.78 on LawnMower.
michael bid $595.63 on AppleWatch.
michael bid $42.58 on Microphone.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
ronald bid $4759.87 on Truck.
ronald bid $4759.88 on Truck.
******** New Auction Started ********
ronald bid $4750.0 on Truck.
******** New Auction Started ********
jeff404 bid $600.0 on AppleWatch.
******** New Auction Started ********
ronald bid $120.0 on LawnMower.
jeff404 bid $4750.0 on Truck.
******** New Auction Started ********
ronald bid $600.0 on AppleWatch.
jeff404 bid $700.0 on AppleWatch.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
ronald bid $4655.0 on Truck.
******** New Auction Started ********
michael bid $600.0 on AppleWatch.
ronald bid $900.0 on AppleWatch.
